0:0:0:0:0:0:0:1 - - [07/May/2022:09:16:21 +0530] "GET /CustomerDemo/home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:09:23:08 +0530] "GET /CustomerDemo/login.jsp HTTP/1.1" 200 5341
0:0:0:0:0:0:0:1 - - [07/May/2022:09:23:21 +0530] "GET /CustomerDemo/adminlogin.jsp HTTP/1.1" 200 5055
0:0:0:0:0:0:0:1 - - [07/May/2022:09:23:34 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3706
0:0:0:0:0:0:0:1 - - [07/May/2022:09:25:31 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:43:37 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3629
0:0:0:0:0:0:0:1 - - [07/May/2022:09:43:58 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:44:39 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:44:50 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:45:08 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:45:17 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:45:25 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:45:36 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:45:43 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:46:02 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:46:12 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3611
0:0:0:0:0:0:0:1 - - [07/May/2022:09:46:28 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [07/May/2022:09:46:37 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [07/May/2022:09:46:41 +0530] "POST /CustomerDemo/admin HTTP/1.1" 412 675
0:0:0:0:0:0:0:1 - - [07/May/2022:09:46:50 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [07/May/2022:09:46:58 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [07/May/2022:09:47:06 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [07/May/2022:09:47:18 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [07/May/2022:09:47:30 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [07/May/2022:09:47:39 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [07/May/2022:09:47:52 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [07/May/2022:09:48:03 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3609
0:0:0:0:0:0:0:1 - - [07/May/2022:09:48:24 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [07/May/2022:09:48:40 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3610
0:0:0:0:0:0:0:1 - - [07/May/2022:09:49:11 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3545
0:0:0:0:0:0:0:1 - - [07/May/2022:09:49:35 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [07/May/2022:09:50:19 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3486
0:0:0:0:0:0:0:1 - - [07/May/2022:09:50:30 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [07/May/2022:09:50:46 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3506
0:0:0:0:0:0:0:1 - - [07/May/2022:09:51:19 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [07/May/2022:09:51:32 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [07/May/2022:09:51:49 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [07/May/2022:09:52:06 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3497
0:0:0:0:0:0:0:1 - - [07/May/2022:10:00:41 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3503
0:0:0:0:0:0:0:1 - - [07/May/2022:10:07:24 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3561
0:0:0:0:0:0:0:1 - - [07/May/2022:10:07:24 +0530] "GET /CustomerDemo/images/facebook1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:10:07:24 +0530] "GET /CustomerDemo/images/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:10:07:24 +0530] "GET /CustomerDemo/images/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:10:07:24 +0530] "GET /CustomerDemo/images/linkedin.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:10:07:24 +0530] "GET /CustomerDemo/images/image1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2022:10:08:18 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3733
0:0:0:0:0:0:0:1 - - [07/May/2022:10:08:30 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [07/May/2022:10:08:57 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3693
0:0:0:0:0:0:0:1 - - [07/May/2022:10:09:22 +0530] "POST /CustomerDemo/admin HTTP/1.1" 200 3717
